CustomerID,Name,Email,Phone,Age,Country,PurchaseAmount
1,Vanessa Kelly,hfreeman@example.net,807.719.4379x7944,63,U.K,164.15
2,,williamselizabeth@example.net,662.535.8086x4451,68,UK,
3,Tammy Gates,robert37@example.net,(398)896-2070x066,unknown,UK,778.09
4,Stephanie Walker,ghale@example.net,693.768.6660,63,pakistan,
5,Vicki Washington,fmadden@example.com,001-468-251-0245x47119,21,U.S.A,536.29
6,,invalid_email,687-467-1071x853,44,Pakistan,287.5
7,Bonnie Bradley,invalid_email,+1-324-457-2589x41077,-5,Pakistan,651.52
8,David Fernandez,alee@example.org,+1-299-340-7064x1086,21,Pakistan,590.91
9,Kelly Esparza,christopherortiz@example.net,978.352.5912x23524,46,India,
10,Brian Dean,calvin34@example.org,5915037073,53,UK,661.19
11,Andrew Drake,qwalker@example.net,(818)231-5129x12419,37,USA,983.55
12,Andrea Jones,jjohnson@example.net,598.741.9242x634,35,U.S.A,48.59
13,Kimberly Campbell,loretta13@example.org,2479536020,46,U.K,874.26
14,Michelle Johnson,mary58@example.net,+1-790-905-8723x4684,42,UK,566.38
15,Jason Shaffer,jacobhaney@example.org,889.891.5428,30,UK,653.26
16,Katelyn Ellis,peter51@example.com,807.621.7747,24,INDIA,?
17,,evansalfred@example.org,643-644-5390x1581,27,pakistan,464.83
18,Vanessa Sullivan,invalid_email,+1-442-702-8942x986,48,Pakistan,943.55
19,Brittany Parker,nroberts@example.com,+1-442-736-4312,53,USA,633.83
20,,invalid_email,+1-319-442-0221x79606,67,Pakistan,732.26
21,Clayton Jenkins,scottrandall@example.net,624.731.2672x3676,54,Pakistan,584.9
22,Timothy Marshall,invalid_email,(308)780-2311x688,-5,Usa,168.13
23,,michaelwallace@example.org,360-354-2967,68,pakistan,217.18
24,Christina Good,angelahamilton@example.net,2143885562,23,Usa,938.32
25,Roberta Gaines,perryjessica@example.org,934-345-3769,43,pakistan,432.66
26,Misty Ramos,richardalvarez@example.org,253.862.1302x64831,46,Usa,167.29
27,Laura Davis,rodriguezcynthia@example.org,844.355.7304x78078,54,pakistan,864.26
28,Emily Griffith,invalid_email,214.355.9709x990,43,INDIA,NA
29,Anne Brooks,invalid_email,3075,45,INDIA,113.06
